# ONGA term-id ledger. One row per id ever minted; ids are never reused.
#
# The allocation authority for ONGA_NNNNNNN term ids (next id = max + 1) and the
# only home of retired ids and former labels. Read and written through
# scripts/workbench/ids.py.
#
# Columns:
#   id             ONGA_NNNNNNN. On the permissible value as `meaning: onga:<id>`.
#   status         live | merged | deleted | faceted
#   enum           blank for live rows (src/ holds it); the last enum for retired rows
#   label          blank for live rows (src/ holds it); the last label for retired rows
#   replaced_by    for merged / faceted rows, the id(s) that absorbed it (|-joined)
#   former_labels  labels this id carried before a rename (|-joined)
#   decision       the DEC-NNNN or DECISIONS.md operation that set the status
id	status	enum	label	replaced_by	former_labels	decision
ONGA_0000240	live					
ONGA_0000241	live					
ONGA_0000242	live					
ONGA_0000243	live					
ONGA_0000244	live					
ONGA_0000245	live					
ONGA_0000246	live					
ONGA_0000247	live					
ONGA_0000248	live					
ONGA_0000249	live					
ONGA_0000250	live					
ONGA_0000251	live					
ONGA_0000252	live					
ONGA_0000253	live					
ONGA_0000254	live					
ONGA_0000255	live					
ONGA_0000256	live					
ONGA_0000257	live					
ONGA_0000258	live					
ONGA_0000259	live					
ONGA_0000260	live					
ONGA_0000261	live					
ONGA_0000262	live					
ONGA_0000263	live					
ONGA_0000264	live					
ONGA_0000265	live					
ONGA_0000266	live					
ONGA_0000267	live					
ONGA_0000268	live					
ONGA_0000269	live					
ONGA_0000270	live					
ONGA_0000271	live					
ONGA_0000272	live					
ONGA_0000273	live					
ONGA_0000274	live					
ONGA_0000275	live					
ONGA_0000276	live					
ONGA_0000277	live					
ONGA_0000278	live					
ONGA_0000279	live					
ONGA_0000280	live					
ONGA_0000281	live					
ONGA_0000282	live					
ONGA_0000283	live					
ONGA_0000284	live					
ONGA_0000285	live					
ONGA_0000286	live					
ONGA_0000287	live					
ONGA_0000288	live					
ONGA_0000289	live					
ONGA_0000290	live					
ONGA_0000291	live					
ONGA_0000292	live					
