term	in_encode	file_count	dataset_count
predicted forebrain enhancers	yes	93	0
predicted heart enhancers	yes	97	0
predicted signal profile	yes	2341	0
predicted signal profile (minus strand)	yes	2323	0
predicted signal profile (plus strand)	yes	2323	0
predicted transcription start sites	yes	160	77
predicted whole brain enhancers	yes	5	0
preprocessed alignments	yes	194	97
primer sequence	yes	2	0
profile sequence contribution scores	yes	4676	0
promoter prediction model	yes	2306	0
promoters reference	yes	2	0
protein expression quantifications	no	0	0
proximal peaks	yes	8	0
pseudoreplicated IDR thresholded peaks	yes	1402	305
pseudoreplicated peaks	yes	30774	5368
rRNA reference	yes	3	0
ranked gRNAs	yes	7	0
raw data	no	0	0
raw imaging signal	yes	5	5
raw minus strand signal	no	0	0
raw normalized signal	no	0	0
raw plus strand signal	no	0	0
raw signal	yes	1507	774
read annotations	yes	7	3
read-depth normalized signal	yes	17642	5602
reads	yes	162022	27000
redacted alignments	yes	2675	832
redacted transcriptome alignments	yes	41	41
redacted unfiltered alignments	yes	1702	769
reference	no	0	0
reference variants	yes	3	0
regulatory elements	yes	7	0
regulatory elements prediction model	no	0	0
rejected reads	yes	431	1
relative replication signal	yes	7	0
repeat elements annotation	no	0	0
repeats reference	no	0	0
replicated peaks	yes	13336	2483
replication timing profile	yes	70	36
reporter code counts	yes	227	115
representative DNase hypersensitivity sites	yes	12	0
representative IDR thresholded peaks	no	0	0
restriction enzyme site locations	yes	4	0
safe-targeting gRNAs	yes	6	0
scaled RNA stability	no	0	0
selected regions for bias-corrected predicted signal profile	no	0	0
selected regions for count sequence contribution scores	no	0	0
selected regions for predicted bias profile	no	0	0
selected regions for predicted signal and sequence contribution scores	yes	4670	0
selected regions for predicted signal profile	no	0	0
selected regions for predicted signal profile (minus strand)	no	0	0
selected regions for predicted signal profile (plus strand)	no	0	0
selected regions for profile sequence contribution scores	no	0	0
semi-automated genome annotation	yes	5508	0
sequence adapters	yes	8	0
sequence alignability	yes	20	0
sequence barcodes	yes	46	12
sequence motifs	yes	2338	0
