output_type	file_count
predicted bias profile	0
protein expression quantifications	0
raw data	0
raw minus strand signal	0
raw normalized signal	0
raw plus strand signal	0
reference	0
regulatory elements prediction model	0
repeat elements annotation	0
repeats reference	0
representative IDR thresholded peaks	0
scaled RNA stability	0
selected regions for bias-corrected predicted signal profile	0
selected regions for count sequence contribution scores	0
selected regions for predicted bias profile	0
selected regions for predicted signal profile	0
selected regions for predicted signal profile (minus strand)	0
selected regions for predicted signal profile (plus strand)	0
selected regions for profile sequence contribution scores	0
snRNA reference	0
tRNA reference	0
topic gene weights	0
training set	0
transposable element TF ancestral origin percent by motif	0
transposable element TF ancestral origin percent by subfamily	0
variant functional prediction	0
variant reference	0
